id,title,company_name,label,source
4646679,Microsoft beats Amazon for Pentagon's $10 bln cloud computing contract,Microsoft,relevant,gold_manual
3489239,House Votes to Expand Legal Safeguards for LGBTQ People,AT&T,irrelevant,gold_manual
2961496,Frequent NSA collaborator AT&T is backing Apple in its fight against the FBI,AT&T,relevant,gold_manual
7932040,Intel officials warned well before Tower 22 attack of increased risks from drones,Intel,irrelevant,gold_manual
4467588,Microsoft brings 'Known Folder Migration' feature to OneDrive consumer users,Microsoft,irrelevant,gold_manual
123333,Walmart To Ban Woman Caught On Viral Racist Rant Video,Walmart,irrelevant,gold_manual
381997,Why did it take us messaging?': Louisiana woman books Airbnb in France. Then she learns what the owner did with the property,Airbnb,irrelevant,gold_manual
7109758,Halloween pet costumes at Walmart,Walmart,irrelevant,gold_manual
6483519,Uber driver charged with raping unconscious 17-year-old in Orange County,Uber,irrelevant,gold_manual
250473,Airbnb asked to disclose data on 172 users so far this year,Airbnb,irrelevant,gold_manual
3295123,"Fore! Here Comes Tony Romo, The Golfer, Again.",AT&T,irrelevant,gold_manual
7908289,NY Post scorches ‘fake’ intel letter used to sink laptop story: ‘Actual disinfo operation’ helped Biden,Intel,irrelevant,gold_manual
4190801,Microsoft is allegedly creating a Slack competitor,Microsoft,irrelevant,gold_manual
1004237,13 ways to give the gift of Mackinac Island,Visa Inc.,irrelevant,gold_manual
1708661,Starbucks Just Revealed The Ideal Drink For Each Zodiac Sign,Starbucks,irrelevant,gold_manual
7087340,"Bank of America, M and others disclose gap between CEO and employee pay",Bank of America,irrelevant,gold_manual
236428,"How Goldman Sachs, UBS, and more reacted to Walmart's $10 billion 'Black Swan' deal to sell Asda",Walmart,relevant,gold_manual
44709,"Sean Hannity: If Walmart stops selling Confederate flags, they should stop selling rap music too",Walmart,irrelevant,gold_manual
4297741,Apple takes another step into Microsoft's core territory with Accenture deal,Microsoft,irrelevant,gold_manual
782429,Harvey Weinstein Taps Trump’s Travel Ban for New ‘Lion’ Oscar Messaging,Visa Inc.,irrelevant,gold_manual
7366870,here's everything I'd buy at Walmart's Black Friday sale,Walmart,irrelevant,gold_manual
4813282,Microsoft just introduced an ambitious subscription plan that makes the Xbox the best deal in gaming,Microsoft,relevant,gold_manual
7935361,Intel’s Stock Stock Rallied 91% This Year. Here’s What Drives It Higher in 2024.,Intel,irrelevant,gold_manual
426333,Shooting at Walmart in El Paso: multiple fatalities,Walmart,irrelevant,gold_manual
7047614,‘This is why I don’t like Goodwill’: Shopper finds Walmart clearance sweater tagged at $3. Then she sees how much Goodwill is selling it for,Walmart,irrelevant,gold_manual
5207105,GM Strike after a week: Sales hold up while parts shortages loom,General Motors,relevant,gold_manual
8424613,How grocery stores restock shelves in the age of coronavirus,Visa Inc.,irrelevant,gold_manual
6672902,"Uber, Private Ride Drivers to Sue Mayor of London for Discrimination",Uber,irrelevant,gold_manual
10490726,We talked to the execs behind Bloomberg's new data partnership with Goldman Sachs. Here's why they think it's a sign of Wall Street's future.,Goldman Sachs,relevant,gold_manual
3108760,Verizon accused of violating net neutrality rules by throttling video,AT&T,irrelevant,gold_manual
2566740,"EMMY® Winner Rushion McDonald Celebrates Five Years of Money Making Conversations Master Class, With Special Broadcast on September 27th",McDonald's,irrelevant,gold_manual
8363082,NYC becomes latest city to cut back on ties with Wells Fargo,Wells Fargo,relevant,gold_manual
3411762,Galaxy Z Flip 5G now up for preorder if you’d rather not wait for the Note 20,AT&T,irrelevant,gold_manual
1017168,Activists: 1st Amendment Rights Of Undocumented Immigrants Are Often Violated,Visa Inc.,irrelevant,gold_manual
584249,"Samsung's Most Luxurious TV Is $2,500 Off at Walmart for Presidents Day",Walmart,irrelevant,gold_manual
8362680,U.S. detention of European and Canadian tourists creates fear over traveling to America,Visa Inc.,irrelevant,gold_manual
3397410,Visiongain Publishes Top 20 Connected Aircraft Companies 2020 Report,AT&T,irrelevant,gold_manual
6428710,"Sidecar – Uber, Lyft Competitor in Ride-Sharing – Goes Belly Up",Uber,irrelevant,gold_manual
1025677,His son was killed by the Mexican cartel. This father was faced with the decision: Move or die,Visa Inc.,irrelevant,gold_manual
3367111,Where to watch 49ers vs Dolphins game today: Free live stream,AT&T,irrelevant,gold_manual
3027670,The FCC OKs Streaming for Free—But Net Neutrality Will Pay,AT&T,irrelevant,gold_manual
7431643,‘This is a gut check time’: Dan Rather demands Congress make Trump’s intel fiasco their ‘top priority’,Intel,irrelevant,gold_manual
8498873,From Russia with love: Successful KHL season could relaunch Wideman's NHL career,Visa Inc.,irrelevant,gold_manual
3576276,"MetLife gets '26 WC final, USMNT kicks off in L.A.",AT&T,irrelevant,gold_manual
4693982,"Gugu Mbatha-Raw, Richard Madden to Star in Netflix Thriller ‘Trinity’",Netflix,irrelevant,gold_manual
3136150,"Spurs brace for red-hot Davis, Pelicans",AT&T,irrelevant,gold_manual
3977873,"Netflix's Grand, Daring, Maybe Crazy Plan to Conquer the World",Netflix,irrelevant,gold_manual
5144297,Lordstown shifts gear to shakier future after GM announcement,General Motors,irrelevant,gold_manual
437672,Skillz Hires Airbnb Executive Ian Lee As CFO,Airbnb,irrelevant,gold_manual
6667230,Uber lawyer says class action trial in California could set a risky...,Uber,relevant,gold_manual
226236,"Chobani partners with Airbnb, MasterCard to help end refugee crisis",Airbnb,irrelevant,gold_manual
