id,title,label
11432288,U.S. antitrust regulators have a new target: Your cheap TP-Link router,irrelevant
11432353,Is Apple Committed To Smart Glasses?,relevant
11432309,Apple to shift most US iPhone production to India by 2026 to avoid China tariffs: reports,relevant
11432358,Apple issues warning to iPhone users to delete this commonly used app immediately,irrelevant
11434631,Apple’s new MacBook Air M4 line just dropped to its lowest price yet,irrelevant
11434804,Pick up Apple's newest iPad while it's on sale for a record-low price,irrelevant
11434546,Alphabet Quarterly Earnings Lifted By Cloud And AI,relevant
11434554,YouTube Ad Revenue Bulks Up 10.3% to $8.9 Billion as Alphabet Q1 Net Profit Jumps 46%,relevant
11434540,Apple to strip secret robotics unit from AI chief weeks after moving Siri,relevant
11434680,Apple will reportedly offer more RAM than ever before in the iPhone 17 as it catches up to the Galaxy S25 and Pixel 9,relevant
11434501,"Amazon is selling a 'high-quality' $160 waterproof smartwatch for $17, and 'people think it's an Apple Watch'",irrelevant
11434504,Today’s your last chance to get three months of Apple TV Plus for $9,irrelevant
11434517,I've reviewed 100s of phones and the new Motorola Razr comes in colors I've never seen,irrelevant
11434518,Fountain of Youth - Official Trailer #2 | Apple TV+,irrelevant
11434598,Perplexity Introduces an iOS Voice Assistant Amid Apple AI Delays,relevant
11434626,No need to close your iPhone apps — Apple employee reveals the surprising reason why you shouldn’t,irrelevant
11434650,"Apple Watch Series 10 review: The top Apple smartwatch for most people, following our long-term testing",irrelevant
11434613,"Google's Gemini usage is skyrocketing, but rivals like ChatGPT and Meta AI are still blowing it out of the water",relevant
11434614,Google Antitrust Trial: Perplexity AI Exec Testifies Internet Giant Still Uses Exclusivity Deals to Beat Competition,relevant
11434661,The New York Mets are on fire. Get cheap tickets to see them at Citi Field,irrelevant
11432367,"Apple juice recalled in 28 states due to toxic substance, FDA says",irrelevant
11434714,Apple iPhone 17 Air: ‘Pro’ Design Upgrade Revealed In Latest Leak,relevant
11434732,How Google Provides A Better Short Option Than Other Mag 7 Stocks,relevant
11434770,"Forget Garmin, This Fitbit Versa 4 Fitness Smartwatch Is Back at Its Lowest Price of the Year",irrelevant
11434771,Samsung Galaxy SmartTag2 Is Now Cheaper Than the Apple AirTag Both Solo and in a 4-Pack,irrelevant
11434781,"American Airlines, Carriers Pull Outlooks; Boeing Confirms China Boycott",irrelevant
11434776,The case for breaking up Google has never been stronger,relevant
11434811,The EU fined Apple and Meta – but failed to really hold them to account. Was that to appease Trump?,relevant
11434815,Save $150 on the impressive Galaxy S24 FE at Amazon,irrelevant
11434816,Hurry! Apple Mac Studio just hit its lowest price ever with £200 off but it won't last forever,irrelevant
11434844,Apple Q2 Earnings: Tariffs In Focus,relevant
11434573,Snag the Apple iPad 11-inch for its lowest price yet,irrelevant
11434576,"Tariffs, shmariffs: Pick up this 2025 MacBook Air at its lowest price ever today on Amazon",irrelevant
11434586,Apple: Market Structure And Key Support Levels Ahead Of Q2 Earnings,relevant
11434592,Apple Watch 10 Years Later: The Feature That Changed Everything for Me,irrelevant
11434819,Apple and Meta hit with €700m of fines by EU,relevant
11434664,Today's the Day to Get the Limited-Edition Pin for Apple's Global Close Your Rings Day,irrelevant
11434673,"Apple's all-new iPad was just released last month, and it's already on sale at Amazon",irrelevant
11434571,"INVESTIGATION ALERT (NASDAQ: AAPL): DiCello Levitt LLP Is Investigating Investor Claims Against Apple, Inc. and Encourages AAPL Investors with Losses to Contact the Firm",relevant
11434712,"Apple, Meta hit with $800 million in antitrust fines by European Union",relevant
11434695,"Motorola's New 2025 Razr Line Gets a High-End $1,300 Ultra Phone",irrelevant
11434699,"Happy birthday, Apple Watch: 10 best features that changed how we track our health",irrelevant
11434830,Hyperscale Data Subsidiary askROI Launches Artificial Intelligence Platform on App Store and Google Play,irrelevant
11434822,Apple Watch users who close their rings today will get a cool free package of limited-edition digital prizes,irrelevant
11434999,"Apple slams the European Commission after getting slapped with a $571 million fine, saying it's 'unfairly targeting' the company by continuing to 'move the goalposts every step of the way'",relevant
11435231,Explainer: What happens to Apple and Meta after the EU fine?,relevant
11435204,Watchdog group says Apple ads touted AI features that were not yet available,relevant
11435205,"EU fines Apple, Meta $799 million for Digital Markets Act violations",relevant
11437405,"EU Slaps Fines On Apple And Meta, Risking Trump Fury",relevant
11435250,"The European Union hits Apple and Meta with 700 million euros in fines, first under digital rules",relevant
11435253,European Commerce Will Suffer EU’s Attacks On Apple And Meta The Most,relevant
11435086,Apple and Meta just got fined a whopping $800 million as Europe comes after Big Tech,relevant
11435227,Amazon Price Target Slashed Again On 'Wild Card' Tariff Concerns,relevant
11437380,EU Fines Apple And Meta $797 Million In First Crackdown Under New Digital Law,relevant
11435089,"EU hits Apple and Meta with hundreds of millions of dollars in new fines, enforcing digital competition rules",relevant
11435087,10 best Apple Watch features that transformed how we track our health and fitness,irrelevant
11435049,"Amazon Deals of the Day: Upgrade to the New M4 MacBook Air for a New, Record-Low Price",irrelevant
11435214,Apple Watch turns 10: A look back at its 10 most transformative health features,irrelevant
11435090,Google Pixel 9a vs. iPhone 16e: My camera comparison has a clear winner,irrelevant
11435063,Meta is bringing smart glasses live translation and AI to more people,relevant
11435224,Pastor Jamal Bryant talks Target boycott,irrelevant
11435366,The European Union fines Apple 500 million euros and Meta 200 million in separate digital cases,relevant
11434922,Glitch on Apple Weather and Google Shows Scary Air Quality in Chicago,irrelevant
11435315,Apple iPhone 16 Pro Max Discounted In New $133 Sale,irrelevant
11434968,"Ray-Ban Meta Glasses Are Coming To India, Mexico And The UAE",relevant
11435283,Apple and Meta Hit With $800 Million in Fines From European Union,relevant
11434953,Apple CEO Cook urged by Senator Warren to disclose Trump tariff talks,relevant
11435323,French media companies sue Meta over business practices,relevant
11435337,"Meta, Apple fined 700 million euros for violating EU antitrust rules",relevant
11435282,"Look, why not? This INTEX 4-Person Inflatable Hot Tub is over $250 off on Amazon",irrelevant
11437379,Europe whacks American Big Tech with $797 million fine. Meta cries ‘tariff’,relevant
11434962,13+ Mother’s Day gifts on Amazon that your mom is sure to love,irrelevant
11435047,"Europe Hits Meta, Apple With $790M in Antitrust Fines",relevant
11435274,"EU fines Apple, Meta millions for breaching tech competition rules",relevant
11434964,Deal of the Day: Apple AirPods Pro 2 are $50 off right now,irrelevant
11434951,"The New 2025 Apple iPad Drops to the Lowest Price Ever, But Only on Amazon",irrelevant
11434972,"40 Amazon Designer Luxury Hair, Makeup and Fragrance Finds",irrelevant
11435104,EU fines Apple and Meta for breaching fair competition rules,relevant
11435324,"Tesla Soars As Analysts Look Past Earnings, Cheer Elon Musk",relevant
11435120,"I visited airport lounges from Delta One and Virgin Atlantic. Both had nice perks, but one impressed me way more.",irrelevant
11435116,Apple TV+ announces Charles Ponzi podcast starring Sebastian Maniscalco,irrelevant
11435361,EU Fines Apple $570 Million And Meta $228 Million For Digital Market Rules Violations,relevant
11434933,"2025 NFL mock draft: Jaguars target WR at No. 5, Saints pass on QB and get O-line help",irrelevant
11435213,Your Meta Ray-Bans just got a big update for free,relevant
11435339,"Boeing Stock Surges On Q1 Results, Plus $10.6 Billion Deal",relevant
11437406,EU Fines Apple and Meta Total of $800 Million in First Use of Digital Competition Law,relevant
11435328,This Apple TV+ deal ends soon: Get three months of access for only $9,irrelevant
11435327,Apple and Meta hit with first fines under Europe's new Digital Markets Act,relevant
11435349,"As Nvidia And Tesla Tumble, Top Funds Bankroll This Stock",relevant
11435371,Apple's Global Close Your Rings Day Is Tomorrow. Here's How to Get the Limited-Edition Pin,irrelevant
11435043,'Hey Meta': New AI Features Come to Meta's Ray-Bans,relevant
11437386,Apple and Meta hit with massive fines for violating EU law,relevant
11435138,"EU fines Apple $570M, Meta $200M under new tech rules",relevant
11435152,25 Genius Target Products You'll Thank Yourself For,irrelevant
11434721,EU hits Apple and Meta with nearly $800M in antitrust fines. Now what?,relevant
11437404,Apple’s Chrome Warning—400 Million iPhone Users Must Now Act,irrelevant
11435203,Motorola Makes A $300 Offer To Razr Plus Buyers,irrelevant
11434904,Elizabeth Warren Slams Tim Cook Over Alleged Backdoor Deal With Trump To Shield Apple From Crushing China Tariffs: 'Creates The Appearance Of Impropriety',relevant
11435038,Why Apple investors might be too optimistic about what’s ahead,relevant
11435001,Motorola Solutions Stock Gets RS Rating Lift,relevant
